Station,Latitude,Longitude,Oxygen (umol/kg),Temperature,Salinity,fluorescence,O2 (% saturated),Depth (m)
2,36.79239,-121.89614,86.568,8.5558,33.9563,1.55E-01,30.31613,183
2,36.79239,-121.89614,86.95,8.5867,33.951,1.62E-01,30.46944,182
2,36.7924,-121.89613,87.397,8.5811,33.9529,1.59E-01,30.62269,181
2,36.7924,-121.89612,87.233,8.6736,33.9392,1.54E-01,30.62484,180
2,36.7924,-121.89611,89.254,8.7297,33.9306,1.68E-01,31.37147,179
2,36.79241,-121.8961,90.716,8.7345,33.9312,1.72E-01,31.88876,178
2,36.7924,-121.89609,92.51,8.7452,33.9312,1.71E-01,32.52715,177
2,36.79242,-121.89606,93.75,8.785,33.9272,1.78E-01,32.99083,176
2,36.79242,-121.89604,94.456,8.7939,33.9268,1.84E-01,33.24586,175
2,36.79244,-121.89604,94.379,8.8141,33.9242,1.82E-01,33.23278,174
2,36.79244,-121.89604,95.177,8.8212,33.9237,2.04E-01,33.51887,173
2,36.79244,-121.89604,95.852,8.8251,33.9235,2.11E-01,33.75958,172
